soucename,source,village,district,eastings,nothings,latitude,longitude,ecoli,ph,electrical_conductivity,turbidity,color_apparent,total_dissolved_salts,total_alkalinity,bicarbonates,total_hardness,CalciumHardardness,magnesium_hardness,fluoride,chloride,sulphate,nitrites,nitrates_n,ammonium_n,phosphates_p
Kamagege shallow well,Well,Rutooma,Kamwenge,247946.5386,10047522.94,-0.6127915,30.3184244,4,5.94,216.5,4.1,0,151.55,0,0,0,0,0,0,2.03056,12.92991,0.02345,0.00327,3.49218,0.06243
Zone 4 &5 4980,Others,Block 4,Lamwo,437542,370808,0.3276973,32.6166854,0,7.28,881,0.138,616.7,0,524,639.28,266.8,83.6,43.968,0.38,6.75,2.47,0,0.02,0,0
Zone 4 &5 4980,Others,Block 4,Lamwo,437542,370808,0.3276973,32.6166854,0,7.29,956,0.23,669.2,0,468,570.96,270.8,70.4,48.096,0.31,5.31,2.33,0,0.02,0,0
Zone 4 &5 4980,Others,Block 4,Lamwo,437086,371065,0.3276973,32.6166854,0,7.33,987,0.875,690.9,0,524,639.28,248.4,124.8,29.664,0.35,5.32,2.85,0,0.02,0,0
Zone 1 Block 4,Others,Block 4b,Lamwo,437086,371065,3.3345833,31.2960783,0,7.56,727,1.12,508.9,0,312,380.64,296.8,138.4,38.016,0.468,12.38,2.84,0,5.57,0,0
Zone 1 Block 4,Others,Block 4b,Lamwo,437086,371065,3.3345833,31.2960783,0,7.37,859,6.12,601.3,0,440,536.8,278.4,46.8,55.584,0.49,11.14,2.43,0,5.7,0,0
Zone 5 Block 12,Others,Block 12a zone b,Lamwo,442869,377058,0.342505,32.5670104,0,7.34,865,0.241,605.5,0,508,619.76,369.6,68,72.384,0.38,11.83,6.01,0,0.02,0,0
Zone 5 Block 12,Others,Block 12a zone b,Lamwo,442869,377058,0.342505,32.5670104,0,7.59,863,6.18,604.1,0,420,512.4,332.8,91.6,57.888,0.34,12.25,6.23,0,0.02,0,0
Zone 5 Block 12,Others,Block 12a zone b,Lamwo,442869,377058,0.342505,32.5670104,0,7.55,874,0.291,611.8,0,528,644.16,360,97.2,63.072,0.66,11.6,5.81,0,0.02,0,0
Zone 5 Block 12,Others,Block 12a zone b,Lamwo,442869,377058,0.342505,32.5670104,0,7.62,817,0.367,571.9,0,492,600.24,338.8,122,52.032,0.98,21.2,8.46,0,0.02,0,0
Zone 5 Block 12,Others,Block 12a zone b,Lamwo,442869,377058,0.342505,32.5670104,0,7.72,848,0.415,593.6,0,472,575.84,329.6,100,55.104,1.6,17.4,7.52,0,0.02,0,0
Nyalagala,Others,Nyalagala,Lamwo,455385,400317,1.25,32.5,0,7.05,472,0.184,330.4,0,260,317.2,249.2,102.4,35.232,1.8,0.81,8.14,0,0.02,0,0
Olug Olo 22365,Others,Akelikongo north,Lamwo,459754,399290,1.25,32.5,0,6.63,276,397,193.2,0,164,200.08,142,79.6,14.976,0.62,0.68,0,0,0.02,0,0
Nyalagala 37447,Others,Akelikongo north,Lamwo,455385,400317,1.25,32.5,0,7.69,472,0.493,330.4,0,164,200.08,249.6,124.8,29.952,1.28,0.29,0,7.21,0.02,0,0
Olug Olo 22365,Others,Alelikongo north,Lamwo,459754,399290,1.25,32.5,0,6.6,280,0.531,196,0,240,292.8,161.6,64,23.424,0.682,0.33,0,0,0.02,0,0
Pok Lengo,Others,Alelikongo north,Lamwo,455175,399509,1.25,32.5,0,5.98,56.1,0.326,39.27,0,164,200.08,59.2,49.2,2.4,1.29,0.92,0,0,2.11,0,0
Zone 4 Block 9,Others,Zone 4 block 9,Lamwo,441588,372639,0.3195086,32.6325432,0,7.42,805,0.352,563.5,0,56,68.32,336.8,127.2,50.304,0.6,3.96,0,7.5,2.02,0,0
Zone 4 Block 9,Others,Zone 4 block 9,Lamwo,441588,372639,0.3195086,32.6325432,0,7.5,799,0.467,559.3,0,520,634.4,288,116.4,41.184,0.25,4.25,0,10.8,0.02,0,0
Zone 4 Block 9,Others,Zone 4 block 9,Lamwo,441588,372639,0.3195086,32.6325432,0,7.33,806,0.391,564.2,0,372,453.84,327.6,104,53.664,0.24,4.16,0,10.06,1.39,0,0
Zone 4 Block 9,Others,Zone 4 block 9,Lamwo,441588,372639,0.3195086,32.6325432,0,7.07,808,0.484,565.6,0,392,478.24,287.2,168.8,28.416,0.25,4.17,0,10.2,0.02,0,0
Zone 4 Block 10,Others,Zone 4 block 9,Lamwo,441588,372639,0.3195086,32.6325432,0,7.54,801,0.22,560.7,0,436,531.92,331.6,155.6,42.24,0.22,4.19,0,9.53,0.02,0,0
Zone 6 Block 6,Others,Zone 6 block 6,Lamwo,444534,372639,3.077885,31.3933483,0,7.09,505,0.283,353.5,0,400,488,204,51.6,36.576,1.08,4.27,0,2.11,0.02,0,0
Zone 6 Block 6,Others,Zone 6 block 6,Lamwo,444534,371724,3.077885,31.3933483,0,7.15,503,0.32,352.1,0,272,331.84,222,58.4,39.264,1.22,4.87,0,1.93,0.02,0,0
Zone 6 Block 6,Others,Zone 6 block 6,Lamwo,444534,371724,3.077885,31.3933483,0,6.95,510,0.383,357,0,280,341.6,238.4,61.6,42.432,0.52,4.42,0,2.05,0.02,0,0
Zone 6 Block 6,Others,Zone 6 block 6,Lamwo,444534,371724,3.077885,31.3933483,0,7.03,506,0.315,354.2,0,312,380.64,234.4,67.6,40.032,0.52,4.41,0,1.91,0.02,0,0
Zone 7 Block 8,Others,Ajagala,Lamwo,442495,369658,1.25,32.5,0,8.22,640,0.255,448,0,284,346.48,251.6,69.2,43.776,1.04,13.35,0,4.6,5.67,0,0
Ajagala 45571,Others,Ajagala,Lamwo,441964,369336,1.25,32.5,0,7.81,693,0.402,485.1,0,324,395.28,239.2,122.4,28.032,1.14,10.96,0,3.78,6.73,0,0
Block 8 Zone 7,Others,Ajagala,Lamwo,442495,369658,1.25,32.5,0,7.07,772,0.723,540.4,0,352,429.44,355.6,39.6,75.84,0.91,10.88,0,4.69,8.14,0,0
Ajagala 45571,Others,Ajagala,Lamwo,441964,369336,1.25,32.5,0,7.83,688,0.24,481.6,0,400,488,225.2,45.6,43.104,0.39,10.89,0,3.74,6.36,0,0
Ajagala 45571,Others,Ajagala,Lamwo,441964,369336,1.25,32.5,0,7.97,683,0.178,478.1,0,376,458.72,256,40.8,51.648,1.11,10.13,0,3.96,6,0,0
Ajaogala,Others,Ajaogala,Lamwo,440389,368384,1.25,32.5,0,7.48,473,0.223,331.1,0,380,463.6,231.6,64.8,40.032,0.44,2.32,0,1.55,1.77,0,0
Ajaogala,Others,Ajaogala,Lamwo,440618,370685,1.25,32.5,0,6.99,841,0.24,588.7,0,280,341.6,239.6,32.4,49.728,1.17,8.9,0,4.31,0.02,0,0
Bwero Langwidi,Others,Ajaogala,Lamwo,439533,365445,1.25,32.5,0,6.78,309,6.11,216.3,0,444,541.68,102.8,40.8,14.88,1.25,5.15,0,0.38,1.43,0,0
Ajaogala,Others,Ajaogala,Lamwo,440626,368178,1.25,32.5,0,6.93,357,0.178,249.9,0,188,229.36,91.2,56.8,8.256,1.56,1.55,0,0,4.06,0,0
Block 7 Zone 7,Others,Ajaogala,Lamwo,441167,368353,1.25,32.5,0,7.03,466,0.223,326.2,0,264,322.08,171.6,64.8,25.632,0.23,2.27,0,1.63,1.91,0,0
Kyebando Borehole,BoreHole,Kyebando,Mubende,333812,57010,0.366667,32.516667,1,5.5,170,1.83,0,119,68,82.96,61,21,40,0.17816,12.09813,4.23033,1.53049,0.00159,0.069,0.0794
Kyenda borehole,BoreHole,Kyenda,Mubende,334146,55736,0.5562639,33.2568079,1,5.7,290,1.76,0,203,125,152.5,130,36,94,0.17836,6.53345,11.77767,2.37574,0.00239,0.04518,0.13873
Our Lady's Secondary School Kitwekyambogo,Others,Mbogo,Luuka,541843.3578,10085477.18,0.3660111,32.5676608,1,7.6,480,2.76,0,336,0,0,0,0,0,0,16.35794,98.64284,0.00528,3.83408,0.02352,0.28079
Kitwekyambogo primary school,Others,Mbogo,Luuka,535146.2773,100877162.3,0.3660111,32.5676608,1,7.8,370,1.54,0,259,0,0,0,0,0,0,5.3452,33.58435,0.00166,5.18969,0.03544,0.20557
Kiyunga Primary school,Others,Nawamwena,Luuka,536862.7503,10084693.69,1.25,32.5,1,7.6,261,1.23,0,182.7,0,0,0,0,0,0,5.08619,22.501,0.00239,3.32873,0.04801,0.20852
Tomborehole,BoreHole,Kiyunga central,Luuka,537867.7843,10086586.87,0.4677359,32.7510181,1,7.8,456,1.67,0,319.2,0,0,0,0,0,0,5.50549,47.39408,0.00413,4.54793,0.04151,0.23532
Kiyunga hospital borehole,BoreHole,Kiyunga hospital,Luuka,536846.0704,10084705.74,0.764117,33.3327119,1,7.4,558,1.23,0,390.6,0,0,0,0,0,0,34.39494,19.18808,0.00461,30.05653,0.01795,0.13452
Makuutu subcounty borehole,BoreHole,Makuutu,Bugweri,566143,55392,0.5066108,33.5906271,1,6.5,359,1.76,0.5,251.3,152,185.44,160,126,34,0.09043,2.81557,16.13871,0.00146,6.48163,0.00601,0.11153
Busiimo Pri School Borehole,BoreHole,Busiimo,Bugweri,565623,50578,0.4506337,33.579809,1,6.4,175,1.95,0.5,122.5,50,61,50,30,20,0.09151,7.07127,7.39301,0.00147,6.92006,0.00379,0.10667
Nalongo spring ,Unprotected Spring,Kabojja a ,Wakiso,446673,32357,0.2903923,32.517483,20,5.44,235,1.85,0,164.5,56,68.32,80,50,30,0.13475,0,0.67062,0.00456,9.84878,1.0533,0.03047
Kabojja B Spring,Unprotected Spring,Kabojja b,Wakiso,446407,33011,0.2976703,32.5160494,2,4.8,200,1.77,0,140,11,13.42,34,11,23,0.0665,0,0.67616,0.0046,12.22264,0.55122,0.04328
Kinawa Motorised hand dug well,Well,Kinawa,Wakiso,445662,29308,-0.5200746,31.614424,1,4.25,223,1.8,0,156.1,4,4.88,49,18,31,0.15379,0,0.72902,0.00718,15.56782,0.26664,0.05327
Kikajjo Spring,Unprotected Spring,Kikajjo,Wakiso,445662,29308,0.3075398,32.5721771,8,4.88,224,1.9,0,156.8,16,19.52,58,22,36,0.10721,0,5.9389,0.00197,11.09191,0.01641,0.03153
Kasenge Health Centre II Borehole,BoreHole,Kasenge,Wakiso,445265,28558,0.2589723,32.5073362,1,5.9,163,1.78,0,114.1,69,84.18,54,34,20,0.1905,0,1.31713,0.00157,2.11286,0.04105,0.18689
Kasenge Pri Sch Shallow well,Well,Kasenge,Wakiso,444870,28353,0.2589723,32.5073362,1,4.38,161,1.96,0,112.7,5.6,6.832,30,12,18,0.07263,0,0.50899,0.00309,11.37755,0.0455,0.03075
Katalemwa Pri. School,Others,Katalemwa,Wakiso,41632,22888,0.389828,32.5831774,2,5,57,21,0,39.9,18,21.96,38,7.8,30.2,0.14688,0,0.31171,0.013,1.34066,0.15626,0.26396
Nankonge Borehole,BoreHole,Katalemwa,Wakiso,440006,22562,0.389828,32.5831774,1,4.8,38,4.45,0,26.6,12,14.64,16,1.6,14.4,0.12194,0,1.19742,0.0017,1.54298,0.02943,0.05718
Gambirana shallow well,Well,Nakawuka,Wakiso,440026,22638,0.1906854,32.4617898,19,4.8,67,2.65,0,46.9,10,12.2,25,9,16,0.15894,0,2.77297,0.00296,3.23466,0.03573,0.10532
